material,solution,ree_class,pretreatment,si,al,fe,temperature,ph,solid_liquid_ratio,stirring_speed,leaching_time,recovery
Coal ash,PTSA,Sc,0,25.81,14.18,3.87,90,1.602059991,0.01,600,60,6.0
Coal ash,PTSA,Sc,0,25.81,14.18,3.87,90,1.301029996,0.01,600,60,8.0
Coal ash,PTSA,Sc,0,25.81,14.18,3.87,90,1.0,0.01,600,60,11.0
Coal ash,PTSA,Sc,0,25.81,14.18,3.87,90,0.698970004,0.01,600,60,11.0
Coal ash,PTSA,Sc,0,25.81,14.18,3.87,90,0.301029996,0.01,600,60,15.0
Coal ash,PTSA,Tb,0,25.81,14.18,3.87,90,1.602059991,0.01,600,60,23.0
Coal ash,PTSA,Tb,0,25.81,14.18,3.87,90,1.301029996,0.01,600,60,26.0
Coal ash,PTSA,Tb,0,25.81,14.18,3.87,90,1.0,0.01,600,60,28.0
Coal ash,PTSA,Tb,0,25.81,14.18,3.87,90,0.698970004,0.01,600,60,28.0
Coal ash,PTSA,Tb,0,25.81,14.18,3.87,90,0.301029996,0.01,600,60,24.0
Coal ash,PTSA,Dy,0,25.81,14.18,3.87,90,1.602059991,0.01,600,60,17.0
Coal ash,PTSA,Dy,0,25.81,14.18,3.87,90,1.301029996,0.01,600,60,19.0
Coal ash,PTSA,Dy,0,25.81,14.18,3.87,90,1.0,0.01,600,60,20.0
Coal ash,PTSA,Dy,0,25.81,14.18,3.87,90,0.698970004,0.01,600,60,21.0
Coal ash,PTSA,Dy,0,25.81,14.18,3.87,90,0.301029996,0.01,600,60,24.0
Coal ash,PTSA,Ho,0,25.81,14.18,3.87,90,1.602059991,0.01,600,60,13.0
Coal ash,PTSA,Ho,0,25.81,14.18,3.87,90,1.301029996,0.01,600,60,14.0
Coal ash,PTSA,Ho,0,25.81,14.18,3.87,90,1.0,0.01,600,60,16.0
Coal ash,PTSA,Ho,0,25.81,14.18,3.87,90,0.698970004,0.01,600,60,17.0
Coal ash,PTSA,Ho,0,25.81,14.18,3.87,90,0.301029996,0.01,600,60,18.0
Coal ash,PTSA,Er,0,25.81,14.18,3.87,90,1.602059991,0.01,600,60,11.0
Coal ash,PTSA,Er,0,25.81,14.18,3.87,90,1.301029996,0.01,600,60,12.0
Coal ash,PTSA,Er,0,25.81,14.18,3.87,90,1.0,0.01,600,60,12.5
Coal ash,PTSA,Er,0,25.81,14.18,3.87,90,0.698970004,0.01,600,60,13.0
Coal ash,PTSA,Er,0,25.81,14.18,3.87,90,0.301029996,0.01,600,60,14.5
Coal ash,PTSA,Yb,0,25.81,14.18,3.87,90,1.602059991,0.01,600,60,8.0
Coal ash,PTSA,Yb,0,25.81,14.18,3.87,90,1.301029996,0.01,600,60,8.5
Coal ash,PTSA,Yb,0,25.81,14.18,3.87,90,1.0,0.01,600,60,9.0
Coal ash,PTSA,Yb,0,25.81,14.18,3.87,90,0.698970004,0.01,600,60,9.0
Coal ash,PTSA,Yb,0,25.81,14.18,3.87,90,0.301029996,0.01,600,60,10.0
Coal ash,PTSA,Lu,0,25.81,14.18,3.87,90,1.602059991,0.01,600,60,6.5
Coal ash,PTSA,Lu,0,25.81,14.18,3.87,90,1.301029996,0.01,600,60,6.5
Coal ash,PTSA,Lu,0,25.81,14.18,3.87,90,1.0,0.01,600,60,7.0
Coal ash,PTSA,Lu,0,25.81,14.18,3.87,90,0.698970004,0.01,600,60,8.0
Coal ash,PTSA,Lu,0,25.81,14.18,3.87,90,0.301029996,0.01,600,60,9.0
Coal ash,PTSA,Y,0,25.81,14.18,3.87,90,1.602059991,0.01,600,60,12.0
Coal ash,PTSA,Y,0,25.81,14.18,3.87,90,1.301029996,0.01,600,60,12.5
Coal ash,PTSA,Y,0,25.81,14.18,3.87,90,1.0,0.01,600,60,14.0
Coal ash,PTSA,Y,0,25.81,14.18,3.87,90,0.698970004,0.01,600,60,14.5
Coal ash,PTSA,Y,0,25.81,14.18,3.87,90,0.301029996,0.01,600,60,17.0
Coal ash,PTSA,Tm,0,25.81,14.18,3.87,90,1.602059991,0.01,600,60,8.0
Coal ash,PTSA,Tm,0,25.81,14.18,3.87,90,1.301029996,0.01,600,60,9.0
Coal ash,PTSA,Tm,0,25.81,14.18,3.87,90,1.0,0.01,600,60,10.0
Coal ash,PTSA,Tm,0,25.81,14.18,3.87,90,0.698970004,0.01,600,60,10.0
Coal ash,PTSA,Tm,0,25.81,14.18,3.87,90,0.301029996,0.01,600,60,11.5
Carbonatite tailings,HCl,TREE,0,3.9,3.5,48.5,115,-0.36,0.1,500,120,32.0
Carbonatite tailings,HCl,TREE,0,3.9,3.5,48.5,115,-0.68,0.1,500,120,52.0
Carbonatite tailings,HCl,TREE,0,3.9,3.5,48.5,115,-0.87,0.1,500,120,64.0
Carbonatite tailings,HCl,TREE,0,3.9,3.5,48.5,115,-1.01,0.1,500,120,64.0
Carbonatite tailings,HCl,TREE,0,3.9,3.5,48.5,115,-0.87,0.4,500,120,31.5
Carbonatite tailings,HCl,TREE,0,3.9,3.5,48.5,115,-0.87,0.2,500,120,44.0
Carbonatite tailings,HCl,TREE,0,3.9,3.5,48.5,115,-0.87,0.1,500,120,65.0
Carbonatite tailings,HCl,TREE,0,3.9,3.5,48.5,115,-0.87,0.05,500,120,56.0
Carbonatite tailings,HCl,TREE,0,3.9,3.5,48.5,115,-0.87,0.1,500,30,65.5
Carbonatite tailings,HCl,TREE,0,3.9,3.5,48.5,115,-0.87,0.1,500,90,75.0
Carbonatite tailings,HCl,TREE,0,3.9,3.5,48.5,115,-0.87,0.1,500,120,82.5
Carbonatite tailings,HCl,TREE,0,3.9,3.5,48.5,115,-0.87,0.1,500,150,81.5
Carbonatite tailings,HCl,TREE,0,3.9,3.5,48.5,25,-0.87,0.1,500,120,66.0
Carbonatite tailings,HCl,TREE,0,3.9,3.5,48.5,90,-0.87,0.1,500,120,64.0
Carbonatite tailings,HCl,TREE,0,3.9,3.5,48.5,115,-0.87,0.1,500,120,89.0
Carbonatite tailings,HCl,TREE,1,3.9,3.5,48.5,200,-0.87,0.1,500,120,89.0
