epoch,train_loss,val_r2,val_mae,val_rmse
1,3806.310302734375,-5.089908599853516,55.944705963134766,61.18239053934862
2,3793.4384765625,-5.061531066894531,55.805870056152344,61.03967595765581
3,3770.807861328125,-5.032156944274902,55.663028717041016,60.891597294649365
4,3755.30712890625,-5.0009446144104,55.51087951660156,60.73385845226697
5,3725.810791015625,-4.965306282043457,55.33835220336914,60.55324563258872
6,3709.052001953125,-4.924932956695557,55.143306732177734,60.34798583657329
7,3686.472900390625,-4.878422737121582,54.918296813964844,60.11065439241512
8,3661.833251953125,-4.8249993324279785,54.65864181518555,59.8368876613749
9,3620.70068359375,-4.7634148597717285,54.35797882080078,59.51973518886929
10,3559.183837890625,-4.69326114654541,54.01321029663086,59.15638206535707
11,3530.026123046875,-4.613136291503906,53.61530303955078,58.738635453352806
12,3485.67578125,-4.521302700042725,53.154518127441406,58.25615662877401
13,3411.477783203125,-4.416204452514648,52.621273040771484,57.69903773095462
14,3328.194091796875,-4.296671390533447,52.007328033447266,57.05879257876804
15,3243.158935546875,-4.161144733428955,51.301448822021484,56.32407665757269
16,3169.290283203125,-4.007730960845947,50.489227294921875,55.48065013193789
17,3085.6376953125,-3.8343429565429688,49.55289840698242,54.51170629366572
18,2987.550048828125,-3.638584613800049,48.47043228149414,53.39662407765705
19,2817.54638671875,-3.4186019897460938,47.219139099121094,52.11509057859945
20,2665.878662109375,-3.174065113067627,45.77985763549805,50.65247614721071
21,2424.267333984375,-2.902589797973633,44.116085052490234,48.977601206284845
22,2259.503662109375,-2.603661298751831,42.18751525878906,47.06445567815748
23,2124.843017578125,-2.2774367332458496,39.947479248046875,44.88365493661083
24,1869.4144287109375,-1.9284391403198242,37.44275665283203,42.426691715497626
25,1564.24853515625,-1.5631022453308105,34.671749114990234,39.69209649809471
26,1338.4805908203125,-1.192051649093628,31.70767593383789,36.70679326602911
27,1127.1121826171875,-0.8270524740219116,28.47239875793457,33.511707594487596
28,1028.4720458984375,-0.49716711044311523,25.099681854248047,30.33585199093022
29,606.5408935546875,-0.24048852920532227,21.633886337280273,27.613244502822486
30,428.2109069824219,-0.09669220447540283,18.662412643432617,25.963511759218814
31,399.2106628417969,-0.08750021457672119,19.379262924194336,25.85447579157294
32,408.75457763671875,-0.1926354169845581,21.8363094329834,27.075400856551852
33,483.9953308105469,-0.3210502862930298,23.89116096496582,28.495792546814588
34,470.997314453125,-0.417557954788208,25.2988338470459,29.518307969311074
35,765.4871215820312,-0.37470972537994385,25.058866500854492,29.068764025878146
36,601.8875732421875,-0.24452412128448486,23.74806785583496,27.658123612382177
